pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
150,v,5,1,21,1,,,,,73.39418489998206,74.39278729981743,74.39278729981743,74.39278729981743,74.39278729981743,74.40894609992392,75.39094890002161,75.39094890002161,v,1,0.27448019990697503,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,5,2,22,2,,,,,75.69058149983175,76.68968859990127,76.68968859990127,76.68968859990127,76.68968859990127,76.70568179991096,77.68825629982166,77.68825629982166,c,1,0.5457763001322746,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,5,3,23,3,,,,,78.25316249998286,79.25156639982015,79.25156639982015,79.25156639982015,79.25156639982015,79.26817289995961,80.25020689982921,80.25020689982921,z,1,0.2965381001122296,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,6,0,24,0,,,,,80.56640019989572,81.5659892000258,81.5659892000258,81.5659892000258,81.5659892000258,81.58163010003045,82.56316809984855,82.56316809984855,x,1,0.3709001000970602,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,6,1,25,1,,,,,82.96295199985616,83.96159969992004,83.96159969992004,83.96159969992004,83.96159969992004,83.97800550004467,84.96353259985335,84.96353259985335,v,1,0.353698099963367,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,6,2,26,2,,,,,85.3421525999438,86.3407576000318,86.3407576000318,86.3407576000318,86.3407576000318,86.35750679997727,87.3392254000064,87.3392254000064,c,1,0.2328636001329869,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,6,3,27,3,,,,,87.58886340004392,88.5878548999317,88.5878548999317,88.5878548999317,88.5878548999317,88.60414660000242,89.58568049990572,89.58568049990572,z,1,0.24980639992281795,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,7,0,28,0,,,,,89.85211570002139,90.8513748999685,90.8513748999685,90.8513748999685,90.8513748999685,90.8672201000154,91.84904809994623,91.84904809994623,x,1,0.3463661000132561,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,7,1,29,1,,,,,92.23007019981742,93.21379920002073,93.21379920002073,93.21379920002073,93.21379920002073,93.23039379995316,94.21189799997956,94.21189799997956,v,1,0.3563260000664741,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,7,2,30,2,,,,,94.59458819986321,95.59344449988566,95.59344449988566,95.59344449988566,95.59344449988566,95.60981850000098,96.5921714999713,96.5921714999713,c,1,0.3059177999384701,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,7,3,31,3,,,,,96.92414020001888,97.92272989987396,97.92272989987396,97.92272989987396,97.92272989987396,97.92272989987396,98.92067689984106,98.92067689984106,z,1,0.2739948998205364,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,8,0,32,0,,,,,99.22090119984932,100.22000520001166,100.22000520001166,100.22000520001166,100.22000520001166,100.22000520001166,101.21801660000347,101.21801660000347,x,1,0.3731583000626415,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,8,1,33,1,,,,,101.61699609993957,102.61624530004337,102.61624530004337,102.61624530004337,102.61624530004337,102.63231799984351,103.61417669989169,103.61417669989169,v,1,0.28566580009646714,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,8,2,34,2,,,,,103.93038120004348,104.9310339000076,104.9310339000076,104.9310339000076,104.9310339000076,104.9310339000076,105.92850449983962,105.92850449983962,c,1,0.20702700014226139,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,8,3,35,3,,,,,106.16030210000463,107.16012579994276,107.16012579994276,107.16012579994276,107.16012579994276,107.17778969998471,108.1572116999887,108.1572116999887,z,1,0.30667770002037287,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
